t,E,Ttrans,Trot,Tgyro,Trel,Vslosh,Vcoup,Hx,Hy,Hz,Hn,Px,Py,Pz,s,sd,th1,th2
6.760000000000e+0,2.472930255809e+0,0.000000000000e+0,9.006582650836e-1,-1.493651042712e-1,4.902809554033e-1,1.230081957323e+0,1.274182270849e-3,3.057402047115e+1,8.609316135751e+0,1.589658807823e+1,3.551890432748e+1,0.000000000000e+0,0.000000000000e+0,0.000000000000e+0,-1.659889594155e-2,3.689717575058e-3,-8.725623715197e-2,-7.768617303137e-2
6.780000000000e+0,2.472930255809e+0,0.000000000000e+0,9.054307824508e-1,-1.578565606754e-1,5.288429961499e-1,1.194411668713e+0,2.101369170781e-3,3.057402047115e+1,8.609316135751e+0,1.589658807823e+1,3.551890432748e+1,0.000000000000e+0,0.000000000000e+0,0.000000000000e+0,-1.651962672716e-2,4.235791383141e-3,-8.788151972791e-2,-7.559153557843e-2
6.800000000000e+0,2.472930255809e+0,0.000000000000e+0,9.102808731035e-1,-1.665811459527e-1,5.688944980422e-1,1.157183317159e+0,3.152713457179e-3,3.057402047115e+1,8.609316135752e+0,1.589658807823e+1,3.551890432748e+1,0.000000000000e+0,0.000000000000e+0,0.000000000000e+0,-1.642952297187e-2,4.773062776231e-3,-8.844202985826e-2,-7.338831233839e-2
6.820000000000e+0,2.472930255809e+0,0.000000000000e+0,9.151803285774e-1,-1.754840749136e-1,6.101669532444e-1,1.118630782737e+0,4.436266163780e-3,3.057402047115e+1,8.609316135752e+0,1.589658807823e+1,3.551890432748e+1,0.000000000000e+0,0.000000000000e+0,0.000000000000e+0,-1.632876721343e-2,5.300885036181e-3,-8.893714934909e-2,-7.108000624528e-2
6.840000000000e+0,2.472930255809e+0,0.000000000000e+0,9.201007182251e-1,-1.845099438405e-1,6.523875980158e-1,1.078993016988e+0,5.958866420448e-3,3.057402047115e+1,8.609316135752e+0,1.589658807823e+1,3.551890432748e+1,0.000000000000e+0,0.000000000000e+0,0.000000000000e+0,-1.621755478716e-2,5.818625281622e-3,-8.936630471042e-2,-6.867027747849e-2
6.860000000000e+0,2.472930255809e+0,0.000000000000e+0,9.250135668448e-1,-1.936030850765e-1,6.952811689763e-1,1.038512547543e+0,7.726057521241e-3,3.057402047115e+1,8.609316135752e+0,1.589658807823e+1,3.551890432748e+1,0.000000000000e+0,0.000000000000e+0,0.000000000000e+0,-1.609609353972e-2,6.325665420851e-3,-8.972896793255e-2,-6.616293775397e-2
6.880000000000e+0,2.472930255809e+0,0.000000000000e+0,9.298905319978e-1,-2.027079215833e-1,7.385716656100e-1,9.974339699845e-1,9.742009799964e-3,3.057402047115e+1,8.609316135752e+0,1.589658807823e+1,3.551890432748e+1,0.000000000000e+0,0.000000000000e+0,0.000000000000e+0,-1.596460352377e-2,6.821403103059e-3,-9.002465723653e-2,-6.356194437930e-2
6.900000000000e+0,2.472930255809e+0,0.000000000000e+0,9.347035799053e-1,-2.117693192366e-1,7.819841078608e-1,9.560024362880e-1,1.200945099148e-2,3.057402047115e+1,8.609316135752e+0,1.589658807823e+1,3.551890432748e+1,0.000000000000e+0,0.000000000000e+0,0.000000000000e+0,-1.582331667368e-2,7.305252664383e-3,-9.025293779725e-2,-6.087139408111e-2
6.920000000000e+0,2.472930255809e+0,0.000000000000e+0,9.394251588234e-1,-2.207329346413e-1,8.252462777044e-1,9.144621492054e-1,1.452960471703e-2,3.057402047114e+1,8.609316135752e+0,1.589658807823e+1,3.551890432747e+1,0.000000000000e+0,0.000000000000e+0,0.000000000000e+0,-1.567247646242e-2,7.776646064960e-3,-9.041342243752e-2,-5.809551661375e-2
6.940000000000e+0,2.472930255809e+0,0.000000000000e+0,9.440283688097e-1,-2.295455562734e-1,8.680904336731e-1,8.730548719126e-1,1.730213768683e-2,3.057402047114e+1,8.609316135752e+0,1.589658807823e+1,3.551890432747e+1,0.000000000000e+0,0.000000000000e+0,0.000000000000e+0,-1.551233753978e-2,8.235033812979e-3,-9.050577229166e-2,-5.523866815848e-2
6.960000000000e+0,2.472930255809e+0,0.000000000000e+0,9.484871268176e-1,-2.381554367976e-1,9.102549874787e-1,8.320184621471e-1,2.032511616290e-2,3.057402047114e+1,8.609316135752e+0,1.589658807823e+1,3.551890432747e+1,0.000000000000e+0,0.000000000000e+0,0.000000000000e+0,-1.534316535237e-2,8.679885871515e-3,-9.052969743713e-2,-5.230532452306e-2
6.980000000000e+0,2.472930255809e+0,0.000000000000e+0,9.527763260814e-1,-2.465126144631e-1,9.514861321138e-1,7.915854399059e-1,2.359497217068e-2,3.057402047114e+1,8.609316135752e+0,1.589658807823e+1,3.551890432747e+1,0.000000000000e+0,0.000000000000e+0,0.000000000000e+0,-1.516523574557e-2,9.110692543818e-3,-9.048495749266e-2,-4.930007415183e-2
7.000000000000e+0,2.472930255809e+0,0.000000000000e+0,9.568719887901e-1,-2.545692215465e-1,9.915394111199e-1,7.519815975563e-1,2.710647988878e-2,3.057402047114e+1,8.609316135752e+0,1.589658807823e+1,3.551890432747e+1,0.000000000000e+0,0.000000000000e+0,0.000000000000e+0,-1.497883454810e-2,9.526965332643e-3,-9.037136218171e-2,-4.622761095697e-2
7.020000000000e+0,2.472930255809e+0,0.000000000000e+0,9.607514110917e-1,-2.622797778919e-1,1.030181219085e+0,7.134246609402e-1,3.085274258374e-2,3.057402047114e+1,8.609316135751e+0,1.589658807823e+1,3.551890432747e+1,0.000000000000e+0,0.000000000000e+0,0.000000000000e+0,-1.478425713972e-2,9.928237769162e-3,-9.018877185969e-2,-4.309272698174e-2
7.040000000000e+0,2.472930255808e+0,0.000000000000e+0,9.643932995137e-1,-2.696014676912e-1,1.067190223873e+0,6.761230097234e-1,3.482519039002e-2,3.057402047114e+1,8.609316135751e+0,1.589658807823e+1,3.551890432747e+1,0.000000000000e+0,0.000000000000e+0,0.000000000000e+0,-1.458180800260e-2,1.031406620706e-2,-8.993709800384e-2,-3.990030490731e-2
7.060000000000e+0,2.472930255808e+0,0.000000000000e+0,9.677778979419e-1,-2.764943977523e-1,1.102358701597e+0,6.402744648557e-1,3.901358916615e-2,3.057402047114e+1,8.609316135751e+0,1.589658807823e+1,3.551890432747e+1,0.000000000000e+0,0.000000000000e+0,0.000000000000e+0,-1.437180025731e-2,1.068403057743e-2,-8.961630366454e-2,-3.665531041470e-2
7.080000000000e+0,2.472930255808e+0,0.000000000000e+0,9.708871043570e-1,-2.829218356213e-1,1.135493775917e+0,6.060651505696e-1,4.340606058634e-2,3.057402047114e+1,8.609316135751e+0,1.589658807823e+1,3.551890432747e+1,0.000000000000e+0,0.000000000000e+0,0.000000000000e+0,-1.415455518406e-2,1.103773510031e-2,-8.922640387698e-2,-3.336278441403e-2
7.100000000000e+0,2.472930255808e+0,0.000000000000e+0,9.737045765960e-1,-2.888504260516e-1,1.166418553852e+0,5.736684378591e-1,4.798911355250e-2,3.057402047114e+1,8.609316135751e+0,1.589658807823e+1,3.551890432747e+1,0.000000000000e+0,0.000000000000e+0,0.000000000000e+0,-1.393040173018e-2,1.137480894876e-2,-8.876746603207e-2,-3.002783515340e-2
7.120000000000e+0,2.472930255808e+0,0.000000000000e+0,9.762158264709e-1,-2.942503844536e-1,1.194973151013e+0,5.432439758416e-1,5.274768693616e-2,3.057402047114e+1,8.609316135750e+0,1.589658807823e+1,3.551890432747e+1,0.000000000000e+0,0.000000000000e+0,0.000000000000e+0,-1.369967600485e-2,1.169490686176e-2,-8.823961020575e-2,-2.665563022015e-2
7.140000000000e+0,2.472930255808e+0,0.000000000000e+0,9.784083016560e-1,-2.990956661045e-1,1.221015599845e+0,5.149368168282e-1,5.766520358353e-2,3.057402047114e+1,8.609316135750e+0,1.589658807823e+1,3.551890432747e+1,0.000000000000e+0,0.000000000000e+0,0.000000000000e+0,-1.346272076214e-2,1.199770970228e-2,-8.764300944578e-2,-2.325138844743e-2
